,Country Name,Country Code,Indicator Name,Indicator Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
103,IDA blend,IDB,Net migration,SM.POP.NETM,7616.0,102544.0,-258308.0,1262694.0,575125.0,-352458.0,-1623327.0,-576770.0,-1928024.0,-1483560.0,-2310575.0,-2260137.0
104,Indonesia,IDN,Net migration,SM.POP.NETM,449965.0,556062.0,508276.0,378743.0,475080.0,261282.0,-35412.0,-67671.0,-1149655.0,-1333685.0,-454447.0,-494777.0
105,IDA only,IDX,Net migration,SM.POP.NETM,-398427.0,-636362.0,-4581448.0,-4475060.0,-6350226.0,-4309279.0,223381.0,-5090520.0,-5896882.0,-10030678.0,-13680033.0,-7348127.0
106,Isle of Man,IMN,Net migration,SM.POP.NETM,,,,,,,,,,,,
107,India,IND,Net migration,SM.POP.NETM,-85391.0,-342846.0,2106041.0,1111236.0,579708.0,45150.0,-552948.0,-682569.0,-1888986.0,-2655844.0,-2350075.0,-2663434.0
108,Not classified,INX,Net migration,SM.POP.NETM,,,,,,,,,,,,
109,Ireland,IRL,Net migration,SM.POP.NETM,-105837.0,-57278.0,44335.0,51765.0,-60929.0,-125947.0,-15374.0,84879.0,201467.0,197285.0,-111819.0,118020.0
110,"Iran, Islamic Rep.",IRN,Net migration,SM.POP.NETM,-7838.0,51755.0,77633.0,403319.0,2007670.0,1497228.0,-898423.0,-218350.0,-48444.0,-576900.0,-502345.0,-274998.0
111,Iraq,IRQ,Net migration,SM.POP.NETM,-1862.0,-6877.0,-8587.0,-47791.0,-199939.0,-647664.0,-154026.0,-17859.0,-266320.0,-1102117.0,1303607.0,39171.0
112,Iceland,ISL,Net migration,SM.POP.NETM,-732.0,-2757.0,-1061.0,-3929.0,260.0,646.0,-1054.0,1020.0,2940.0,12007.0,-2163.0,1900.0
113,Israel,ISR,Net migration,SM.POP.NETM,209496.0,72440.0,165879.0,62546.0,2604.0,65418.0,451557.0,245334.0,102935.0,273635.0,19497.0,50002.0
114,Italy,ITA,Net migration,SM.POP.NETM,-230527.0,-231781.0,19396.0,164927.0,264799.0,-10058.0,152825.0,-298237.0,1664343.0,1050948.0,1637369.0,744713.0
115,Jamaica,JAM,Net migration,SM.POP.NETM,-143938.0,-149741.0,-91034.0,-98483.0,-71084.0,-146934.0,-110068.0,-93279.0,-92045.0,-87319.0,-56658.0,-56658.0
116,Jordan,JOR,Net migration,SM.POP.NETM,35715.0,255435.0,-29706.0,-80758.0,81657.0,170602.0,412472.0,-150149.0,-93910.0,649995.0,1056759.0,51099.0
117,Japan,JPN,Net migration,SM.POP.NETM,-151351.0,822703.0,714937.0,205006.0,50002.0,-298339.0,46286.0,-100333.0,164199.0,277580.0,358133.0,357800.0
118,Kazakhstan,KAZ,Net migration,SM.POP.NETM,694120.0,173343.0,-128101.0,-435262.0,-433268.0,-674287.0,-1439396.0,-1261512.0,44530.0,-35196.0,159807.0,-90000.0
119,Kenya,KEN,Net migration,SM.POP.NETM,-20000.0,-19535.0,-17915.0,-2930.0,3805.0,5023.0,221569.0,-21386.0,25144.0,-189330.0,-50000.0,-50000.0
120,Kyrgyz Republic,KGZ,Net migration,SM.POP.NETM,103107.0,104185.0,-12065.0,-45839.0,-54162.0,-126883.0,-276249.0,-27268.0,-172911.0,-76604.0,-93353.0,-20000.0
121,Cambodia,KHM,Net migration,SM.POP.NETM,0.0,-248418.0,-125000.0,-84999.0,-88854.0,-78022.0,409414.0,348495.0,-35156.0,-295987.0,-149999.0,-149999.0
122,Kiribati,KIR,Net migration,SM.POP.NETM,-786.0,-917.0,-1120.0,-2342.0,-3011.0,-664.0,-4435.0,-2801.0,-1938.0,-295.0,-4123.0,-3999.0
123,St. Kitts and Nevis,KNA,Net migration,SM.POP.NETM,,,,,,,,,,,,
124,"Korea, Rep.",KOR,Net migration,SM.POP.NETM,-69136.0,-81844.0,-209938.0,-165135.0,92892.0,170581.0,71418.0,159428.0,81223.0,-156546.0,401183.0,58657.0
125,Kuwait,KWT,Net migration,SM.POP.NETM,137000.0,146600.0,95836.0,141100.0,115340.0,119768.0,-655000.0,242000.0,26500.0,479500.0,580000.0,197600.0
126,Latin America & Caribbean (excluding high income),LAC,Net migration,SM.POP.NETM,-1273827.0,-1701987.0,-2223153.0,-3183626.0,-3189809.0,-3766978.0,-4235925.0,-4591564.0,-5113976.0,-3732353.0,-2720438.0,-2718002.0
127,Lao PDR,LAO,Net migration,SM.POP.NETM,76.0,30.0,46.0,-198756.0,-35110.0,138.0,-60567.0,-134746.0,-148100.0,-110258.0,-112313.0,-73518.0
128,Lebanon,LBN,Net migration,SM.POP.NETM,20000.0,-70002.0,-10000.0,-285201.0,-214378.0,-128038.0,390001.0,-29428.0,550110.0,-26882.0,1192354.0,-150060.0
129,Liberia,LBR,Net migration,SM.POP.NETM,7996.0,7996.0,10996.0,11949.0,0.0,-359708.0,-290000.0,462952.0,-50000.0,175585.0,25000.0,-25000.0
130,Libya,LBY,Net migration,SM.POP.NETM,45891.0,48002.0,58665.0,57534.0,113380.0,5490.0,3965.0,-57368.0,-20569.0,-118555.0,-300002.0,-9997.0
131,St. Lucia,LCA,Net migration,SM.POP.NETM,-9187.0,-7795.0,-9703.0,-8971.0,-8009.0,-4285.0,-5031.0,-1541.0,-804.0,4360.0,0.0,0.0
132,Latin America & Caribbean,LCN,Net migration,SM.POP.NETM,-1594811.0,-2147249.0,-2614761.0,-3479274.0,-3493972.0,-4016511.0,-4288871.0,-4671401.0,-5318859.0,-3784759.0,-2796189.0,-2606469.0
133,Least developed countries: UN classification,LDC,Net migration,SM.POP.NETM,-1005498.0,-1203458.0,-4400298.0,-3897388.0,-6102508.0,-3733535.0,871361.0,-4294643.0,-4393268.0,-9561841.0,-7624642.0,-4861511.0
134,Low income,LIC,Net migration,SM.POP.NETM,-454020.0,-214831.0,-1625547.0,-2606900.0,-5234756.0,-3302410.0,1280175.0,-2571989.0,-678717.0,-2632479.0,-7574410.0,-4052273.0
135,Liechtenstein,LIE,Net migration,SM.POP.NETM,,,,,,,,,,,,
136,Sri Lanka,LKA,Net migration,SM.POP.NETM,-47500.0,-38500.0,-145000.0,-237500.0,-398693.0,-137440.0,-255780.0,-461684.0,-449480.0,-520065.0,-484772.0,-489932.0
137,Lower middle income,LMC,Net migration,SM.POP.NETM,-827911.0,-2603730.0,-2626935.0,-2158820.0,-1493460.0,-2814621.0,-5667870.0,-7028307.0,-12896960.0,-15520933.0,-13606015.0,-10239143.0
138,Low & middle income,LMY,Net migration,SM.POP.NETM,-3927224.0,-4221607.0,-7162517.0,-7264498.0,-6535671.0,-8349528.0,-10296679.0,-13482497.0,-18256319.0,-22561890.0,-17919477.0,-15853831.0
139,Lesotho,LSO,Net migration,SM.POP.NETM,-24999.0,-22399.0,-24048.0,-6538.0,-25760.0,-40195.0,-7839.0,-37212.0,-161218.0,-92476.0,-47704.0,-50234.0
140,Late-demographic dividend,LTE,Net migration,SM.POP.NETM,-2767349.0,-2127314.0,-2654279.0,-1908587.0,-1538143.0,-1940531.0,-4275005.0,-1735738.0,-1088551.0,2231391.0,1351680.0,-379189.0
141,Lithuania,LTU,Net migration,SM.POP.NETM,24715.0,26314.0,37782.0,38815.0,43804.0,36863.0,-100301.0,-93925.0,-99104.0,-150930.0,-146217.0,-163902.0
142,Luxembourg,LUX,Net migration,SM.POP.NETM,8527.0,5918.0,15284.0,11846.0,2552.0,12831.0,20040.0,19940.0,14473.0,42279.0,48704.0,48704.0
143,Latvia,LVA,Net migration,SM.POP.NETM,79651.0,70780.0,54668.0,36327.0,30762.0,41910.0,-116474.0,-46601.0,-72490.0,-86594.0,-83325.0,-74186.0
144,"Macao SAR, China",MAC,Net migration,SM.POP.NETM,19062.0,33602.0,-10972.0,-10034.0,25146.0,33466.0,21845.0,27864.0,46284.0,42381.0,42350.0,25000.0
145,St. Martin (French part),MAF,Net migration,SM.POP.NETM,,,,,,,,,,,,
146,Morocco,MAR,Net migration,SM.POP.NETM,-239800.0,-474734.0,-508947.0,-309839.0,-320659.0,-430184.0,-466627.0,-532581.0,-654821.0,-565140.0,-367108.0,-257096.0
147,Monaco,MCO,Net migration,SM.POP.NETM,,,,,,,,,,,,
148,Moldova,MDA,Net migration,SM.POP.NETM,100890.0,74449.0,55824.0,-26414.0,-9185.0,-84531.0,-131953.0,-165309.0,-12079.0,-47911.0,-7020.0,-6935.0
149,Madagascar,MDG,Net migration,SM.POP.NETM,0.0,-8000.0,-19000.0,-30000.0,-10000.0,-10000.0,-9500.0,-8500.0,-7500.0,-7500.0,-7500.0,-7500.0
